timestamp,thermal_count,yolo_count,thermal_data,yolo_data
1772700974,0,0,[],[]
1772700977,0,0,[],[]
1772700980,0,0,[],[]
1772700983,1,0,"[{'x': 1, 'y': 13, 'area': 20}]",[]
1772700986,1,0,"[{'x': 3, 'y': 13, 'area': 22}]",[]
1772700990,1,0,"[{'x': 3, 'y': 12, 'area': 26}]",[]
1772700993,1,0,"[{'x': 4, 'y': 14, 'area': 25}]",[]
1772700996,0,3,[],"[{'x1': 517, 'y1': 190, 'x2': 639, 'y2': 478}, {'x1': 0, 'y1': 334, 'x2': 19, 'y2': 419}, {'x1': 517, 'y1': 192, 'x2': 639, 'y2': 479}]"
1772700999,1,1,"[{'x': 11, 'y': 14, 'area': 32}]","[{'x1': 278, 'y1': 178, 'x2': 492, 'y2': 479}]"
1772701002,1,1,"[{'x': 17, 'y': 15, 'area': 62}]","[{'x1': 129, 'y1': 152, 'x2': 388, 'y2': 478}]"
1772701005,1,0,"[{'x': 26, 'y': 15, 'area': 52}]",[]
1772701008,1,1,"[{'x': 28, 'y': 13, 'area': 78}]","[{'x1': 0, 'y1': 135, 'x2': 254, 'y2': 479}]"
1772701011,1,1,"[{'x': 17, 'y': 14, 'area': 63}]","[{'x1': 211, 'y1': 148, 'x2': 468, 'y2': 479}]"
1772701014,1,1,"[{'x': 16, 'y': 14, 'area': 65}]","[{'x1': 296, 'y1': 131, 'x2': 459, 'y2': 478}]"
1772701017,1,1,"[{'x': 9, 'y': 14, 'area': 50}]","[{'x1': 459, 'y1': 109, 'x2': 627, 'y2': 477}]"
1772701020,1,1,"[{'x': 9, 'y': 14, 'area': 60}]","[{'x1': 415, 'y1': 137, 'x2': 639, 'y2': 477}]"
1772701023,1,1,"[{'x': 10, 'y': 13, 'area': 60}]","[{'x1': 416, 'y1': 125, 'x2': 638, 'y2': 478}]"
1772701026,1,1,"[{'x': 10, 'y': 14, 'area': 68}]","[{'x1': 342, 'y1': 167, 'x2': 580, 'y2': 478}]"
1772701029,1,1,"[{'x': 11, 'y': 15, 'area': 47}]","[{'x1': 381, 'y1': 163, 'x2': 545, 'y2': 477}]"
1772701032,1,1,"[{'x': 13, 'y': 15, 'area': 45}]","[{'x1': 271, 'y1': 167, 'x2': 417, 'y2': 478}]"
1772701035,1,1,"[{'x': 16, 'y': 14, 'area': 32}]","[{'x1': 234, 'y1': 162, 'x2': 389, 'y2': 479}]"
1772701038,1,1,"[{'x': 16, 'y': 12, 'area': 45}]","[{'x1': 265, 'y1': 151, 'x2': 414, 'y2': 476}]"
1772701042,1,1,"[{'x': 16, 'y': 12, 'area': 57}]","[{'x1': 250, 'y1': 93, 'x2': 425, 'y2': 477}]"
1772701045,0,2,[],"[{'x1': 249, 'y1': 166, 'x2': 391, 'y2': 476}, {'x1': 249, 'y1': 163, 'x2': 392, 'y2': 475}]"
1772701048,0,1,[],"[{'x1': 241, 'y1': 189, 'x2': 413, 'y2': 476}]"
1772701051,0,1,[],"[{'x1': 196, 'y1': 174, 'x2': 372, 'y2': 476}]"
1772701054,0,1,[],"[{'x1': 45, 'y1': 192, 'x2': 235, 'y2': 479}]"
1772701057,0,1,[],"[{'x1': 247, 'y1': 190, 'x2': 385, 'y2': 478}]"
1772701060,0,3,[],"[{'x1': 317, 'y1': 134, 'x2': 560, 'y2': 478}, {'x1': 11, 'y1': 183, 'x2': 234, 'y2': 478}, {'x1': 0, 'y1': 281, 'x2': 50, 'y2': 416}]"
1772701063,1,3,"[{'x': 12, 'y': 11, 'area': 27}]","[{'x1': 331, 'y1': 145, 'x2': 562, 'y2': 477}, {'x1': 69, 'y1': 268, 'x2': 152, 'y2': 474}, {'x1': 0, 'y1': 253, 'x2': 68, 'y2': 477}]"
1772701066,1,3,"[{'x': 12, 'y': 12, 'area': 26}]","[{'x1': 331, 'y1': 149, 'x2': 560, 'y2': 477}, {'x1': 0, 'y1': 217, 'x2': 150, 'y2': 477}, {'x1': 0, 'y1': 270, 'x2': 27, 'y2': 339}]"
1772701069,1,1,"[{'x': 13, 'y': 12, 'area': 35}]","[{'x1': 307, 'y1': 157, 'x2': 554, 'y2': 477}]"
1772701072,1,1,"[{'x': 13, 'y': 11, 'area': 38}]","[{'x1': 292, 'y1': 149, 'x2': 526, 'y2': 477}]"
1772701075,1,2,"[{'x': 13, 'y': 12, 'area': 31}]","[{'x1': 349, 'y1': 175, 'x2': 500, 'y2': 476}, {'x1': 349, 'y1': 175, 'x2': 498, 'y2': 477}]"
1772701078,0,1,[],"[{'x1': 569, 'y1': 195, 'x2': 639, 'y2': 471}]"
1772701081,0,0,[],[]
1772701084,0,1,[],"[{'x1': 166, 'y1': 183, 'x2': 359, 'y2': 478}]"
1772701087,1,0,"[{'x': 25, 'y': 9, 'area': 22}]",[]
1772701090,0,1,[],"[{'x1': 0, 'y1': 334, 'x2': 20, 'y2': 480}]"
1772701094,0,2,[],"[{'x1': 145, 'y1': 173, 'x2': 301, 'y2': 477}, {'x1': 20, 'y1': 294, 'x2': 56, 'y2': 325}]"
1772701097,0,0,[],[]
